"","column","diff","lwr","upr","p adj","significant","block_a","block_b","clusterlabel_a","clusterlabel_b"
"121","1:SomMot_SomMot-0:SomMot_SomMot",-0.00927493167621834,-0.00940162029583049,-0.00914824305660618,0,TRUE,"SomMot","SomMot","1","0"
"122","2:SomMot_SomMot-0:SomMot_SomMot",-0.00782679691913433,-0.00795348553874649,-0.00770010829952218,0,TRUE,"SomMot","SomMot","2","0"
"123","2:SomMot_SomMot-1:SomMot_SomMot",0.00144813475708401,0.00132144613747185,0.00157482337669616,0,TRUE,"SomMot","SomMot","2","1"
"124","1:SomMot_Vis-0:SomMot_Vis",-0.000788595562980503,-0.000915284182592658,-0.000661906943368349,0,TRUE,"SomMot","Vis","1","0"
"125","2:SomMot_Vis-0:SomMot_Vis",-0.000553614695842115,-0.000680303315454269,-0.00042692607622996,0,TRUE,"SomMot","Vis","2","0"
"126","2:SomMot_Vis-1:SomMot_Vis",0.000234980867138388,0.000108292247526234,0.000361669486750543,4.54469795130308e-12,TRUE,"SomMot","Vis","2","1"
"127","1:Vis_Cont-0:Vis_Cont",0.000381178349185514,0.000254489729573359,0.000507866968797668,0,TRUE,"Vis","Cont","1","0"
"128","2:Vis_Cont-0:Vis_Cont",0.000378998992619556,0.000252310373007401,0.00050568761223171,0,TRUE,"Vis","Cont","2","0"
"129","2:Vis_Cont-1:Vis_Cont",-2.17935656595791e-06,-0.000128867976178112,0.000124509263046197,1,FALSE,"Vis","Cont","2","1"
"130","1:Vis_Default-0:Vis_Default",-0.000271407029070372,-0.000398095648682526,-0.000144718409458217,1.3079537453109e-12,TRUE,"Vis","Default","1","0"
"131","2:Vis_Default-0:Vis_Default",-5.35669346248333e-05,-0.000180255554236988,7.31216849873212e-05,0.999999999993999,FALSE,"Vis","Default","2","0"
"132","2:Vis_Default-1:Vis_Default",0.000217840094445538,9.11514748333836e-05,0.000344528714057693,3.17862958176818e-10,TRUE,"Vis","Default","2","1"
"133","1:Vis_DorsAttn-0:Vis_DorsAttn",-0.000647908624352646,-0.0007745972439648,-0.000521220004740491,0,TRUE,"Vis","DorsAttn","1","0"
"134","2:Vis_DorsAttn-0:Vis_DorsAttn",-1.36061872330691e-06,-0.000128049238335461,0.000125328000888848,1,FALSE,"Vis","DorsAttn","2","0"
"135","2:Vis_DorsAttn-1:Vis_DorsAttn",0.000646548005629339,0.000519859386017184,0.000773236625241493,0,TRUE,"Vis","DorsAttn","2","1"
"136","1:Vis_Limbic-0:Vis_Limbic",0.000373768232232625,0.00024707961262047,0.000500456851844779,0,TRUE,"Vis","Limbic","1","0"
"137","2:Vis_Limbic-0:Vis_Limbic",0.000405936922233999,0.000279248302621845,0.000532625541846154,0,TRUE,"Vis","Limbic","2","0"
"138","2:Vis_Limbic-1:Vis_Limbic",3.21686900013745e-05,-9.45199296107801e-05,0.000158857309613529,1,FALSE,"Vis","Limbic","2","1"
"139","1:Vis_SalVentAttn-0:Vis_SalVentAttn",0.000369416879217867,0.000242728259605713,0.000496105498830022,0,TRUE,"Vis","SalVentAttn","1","0"
"140","2:Vis_SalVentAttn-0:Vis_SalVentAttn",0.000188102543340395,6.14139237282407e-05,0.00031479116295255,4.78011150550905e-07,TRUE,"Vis","SalVentAttn","2","0"
"141","2:Vis_SalVentAttn-1:Vis_SalVentAttn",-0.000181314335877472,-0.000308002955489627,-5.46257162653175e-05,2.21272239508963e-06,TRUE,"Vis","SalVentAttn","2","1"
"142","1:Vis_SomMot-0:Vis_SomMot",-0.000788595539855382,-0.000915284159467537,-0.000661906920243228,0,TRUE,"Vis","SomMot","1","0"
"143","2:Vis_SomMot-0:Vis_SomMot",-0.000553614648824149,-0.000680303268436303,-0.000426926029211994,0,TRUE,"Vis","SomMot","2","0"
"144","2:Vis_SomMot-1:Vis_SomMot",0.000234980891031234,0.000108292271419079,0.000361669510643388,4.54691839735233e-12,TRUE,"Vis","SomMot","2","1"
"145","1:Vis_Vis-0:Vis_Vis",-0.00801843214777543,-0.00814512076738759,-0.00789174352816328,0,TRUE,"Vis","Vis","1","0"
"146","2:Vis_Vis-0:Vis_Vis",-0.0055071620703851,-0.00563385068999725,-0.00538047345077295,0,TRUE,"Vis","Vis","2","0"
"147","2:Vis_Vis-1:Vis_Vis",0.00251127007739033,0.00238458145777818,0.00263795869700249,0,TRUE,"Vis","Vis","2","1"
