,block,type,cluster_label,fold,pattern_value
36,SomMot_Default,inter,1,1,-0.0010012321750561
37,SomMot_DorsAttn,inter,1,1,0.0295618971976394
38,SomMot_Limbic,inter,1,1,-0.0184655575731409
39,SomMot_SalVentAttn,inter,1,1,0.0318885527892766
40,SomMot_SomMot,intra,1,1,0.0680450997399443
41,SomMot_Vis,inter,1,1,0.0002088952702815
42,Vis_Cont,inter,1,1,-0.0149704251003666
43,Vis_Default,inter,1,1,-0.0087360264521417
44,Vis_DorsAttn,inter,1,1,0.007401938526563
45,Vis_Limbic,inter,1,1,-0.005219881135898
46,Vis_SalVentAttn,inter,1,1,-0.008056915365572
47,Vis_SomMot,inter,1,1,0.0002088945721775
48,Vis_Vis,intra,1,1,0.0839613171807768
0,Cont_Cont,intra,2,1,0.0491581480013906
1,Cont_Default,inter,2,1,0.0154382243730292
2,Cont_DorsAttn,inter,2,1,0.0161026451905341
3,Cont_Limbic,inter,2,1,-0.00764039211939
4,Cont_SalVentAttn,inter,2,1,0.0170963876870632
5,Cont_SomMot,inter,2,1,0.0036479881484147
6,Cont_Vis,inter,2,1,-0.0154468284786646
7,Default_Cont,inter,2,1,0.0154382243767935
8,Default_Default,intra,2,1,0.0401403668524996
9,Default_DorsAttn,inter,2,1,-0.0044773168856657
10,Default_Limbic,inter,2,1,0.006170413781191
11,Default_SalVentAttn,inter,2,1,0.0027934068499201
12,Default_SomMot,inter,2,1,-0.0011512360911119
13,Default_Vis,inter,2,1,-0.0088899680798858
14,DorsAttn_Cont,inter,2,1,0.0161026441643506
15,DorsAttn_Default,inter,2,1,-0.0044773167461338
16,DorsAttn_DorsAttn,intra,2,1,0.0651020048164889
17,DorsAttn_Limbic,inter,2,1,-0.019319624048289
18,DorsAttn_SalVentAttn,inter,2,1,0.0197408415004682
19,DorsAttn_SomMot,inter,2,1,0.0298550566986118
20,DorsAttn_Vis,inter,2,1,0.0064329483188442
21,Limbic_Cont,inter,2,1,-0.0076403919558517
22,Limbic_Default,inter,2,1,0.0061704137703004
23,Limbic_DorsAttn,inter,2,1,-0.0193196240965126
24,Limbic_Limbic,intra,2,1,0.0937486090359359
25,Limbic_SalVentAttn,inter,2,1,-0.0136991996437474
26,Limbic_SomMot,inter,2,1,-0.0194083570087869
27,Limbic_Vis,inter,2,1,-0.0051905477475669
28,SalVentAttn_Cont,inter,2,1,0.0170963875662928
29,SalVentAttn_Default,inter,2,1,0.0027934072663681
30,SalVentAttn_DorsAttn,inter,2,1,0.0197408413622101
31,SalVentAttn_Limbic,inter,2,1,-0.0136991996602883
32,SalVentAttn_SalVentAttn,intra,2,1,0.0609969391396774
33,SalVentAttn_SomMot,inter,2,1,0.0316454342762812
34,SalVentAttn_Vis,inter,2,1,-0.0082369733779234
35,SomMot_Cont,inter,2,1,0.0036479871686388
36,SomMot_Default,inter,2,1,-0.0011512361564351
37,SomMot_DorsAttn,inter,2,1,0.0298550558304838
38,SomMot_Limbic,inter,2,1,-0.019408356378332
39,SomMot_SalVentAttn,inter,2,1,0.0316454338398234
40,SomMot_SomMot,intra,2,1,0.0683039411821821
41,SomMot_Vis,inter,2,1,-0.0002885035727686
42,Vis_Cont,inter,2,1,-0.0154468289397916
43,Vis_Default,inter,2,1,-0.0088899681158256
44,Vis_DorsAttn,inter,2,1,0.00643294822633
45,Vis_Limbic,inter,2,1,-0.0051905481012516
46,Vis_SalVentAttn,inter,2,1,-0.0082369734069154
47,Vis_SomMot,inter,2,1,-0.0002885042685318
48,Vis_Vis,intra,2,1,0.0832981282621509
0,Cont_Cont,intra,0,2,0.0502029957128248
1,Cont_Default,inter,0,2,0.0155557574438685
2,Cont_DorsAttn,inter,0,2,0.0161686992058271
3,Cont_Limbic,inter,0,2,-0.0075940733151322
4,Cont_SalVentAttn,inter,0,2,0.0173396365550462
5,Cont_SomMot,inter,0,2,0.0029943884817046
6,Cont_Vis,inter,0,2,-0.0162863511588225
7,Default_Cont,inter,0,2,0.0155557574470283
8,Default_Default,intra,0,2,0.0413356736377963
9,Default_DorsAttn,inter,0,2,-0.0048731109284917
10,Default_Limbic,inter,0,2,0.006560636717882
11,Default_SalVentAttn,inter,0,2,0.0027751693261603
12,Default_SomMot,inter,0,2,-0.0014008484488615
13,Default_Vis,inter,0,2,-0.0095411524429109
14,DorsAttn_Cont,inter,0,2,0.016168698160793
15,DorsAttn_Default,inter,0,2,-0.0048731107850273
16,DorsAttn_DorsAttn,intra,0,2,0.0657203006926845
17,DorsAttn_Limbic,inter,0,2,-0.0198527609649037
18,DorsAttn_SalVentAttn,inter,0,2,0.0200467397726049
19,DorsAttn_SomMot,inter,0,2,0.0302365028084265
20,DorsAttn_Vis,inter,0,2,0.0065870792842907
21,Limbic_Cont,inter,0,2,-0.0075940731394956
22,Limbic_Default,inter,0,2,0.0065606367121364
23,Limbic_DorsAttn,inter,0,2,-0.0198527609944285
24,Limbic_Limbic,intra,0,2,0.0956475914129085
25,Limbic_SalVentAttn,inter,0,2,-0.0142368370729794
26,Limbic_SomMot,inter,0,2,-0.0205673827587339
27,Limbic_Vis,inter,0,2,-0.0062642528464837
28,SalVentAttn_Cont,inter,0,2,0.0173396364204851
29,SalVentAttn_Default,inter,0,2,0.0027751697530497
30,SalVentAttn_DorsAttn,inter,0,2,0.0200467396277137
31,SalVentAttn_Limbic,inter,0,2,-0.014236837099809
32,SalVentAttn_SalVentAttn,intra,0,2,0.063315179281834
33,SalVentAttn_SomMot,inter,0,2,0.0330864261113689
34,SalVentAttn_Vis,inter,0,2,-0.0081107862172194
35,SomMot_Cont,inter,0,2,0.0029943874618054
36,SomMot_Default,inter,0,2,-0.001400848521847
37,SomMot_DorsAttn,inter,0,2,0.0302365018907868
38,SomMot_Limbic,inter,0,2,-0.0205673821124317
39,SomMot_SalVentAttn,inter,0,2,0.0330864256504225
40,SomMot_SomMot,intra,0,2,0.0714713791481131
41,SomMot_Vis,inter,0,2,0.0010135886718712
42,Vis_Cont,inter,0,2,-0.0162863516348091
43,Vis_Default,inter,0,2,-0.009541152472272
44,Vis_DorsAttn,inter,0,2,0.0065870791720774
45,Vis_Limbic,inter,0,2,-0.0062642532025696
46,Vis_SalVentAttn,inter,0,2,-0.0081107862543948
47,Vis_SomMot,inter,0,2,0.001013587945178
48,Vis_Vis,intra,0,2,0.0849843776095649
0,Cont_Cont,intra,1,2,0.0494128610822511
1,Cont_Default,inter,1,2,0.0156936431563497
2,Cont_DorsAttn,inter,1,2,0.0163768942146796
3,Cont_Limbic,inter,1,2,-0.0074575895960251
4,Cont_SalVentAttn,inter,1,2,0.0173482294826578
5,Cont_SomMot,inter,1,2,0.0038914788110304
6,Cont_Vis,inter,1,2,-0.0150391278331007
7,Default_Cont,inter,1,2,0.0156936431550575
