,node_a,node_b,pattern_value,cluster_label,fold
44,Vis,DorsAttn,0.0009446492394658988,0,2
45,Vis,Limbic,-0.001012820257555635,0,2
46,Vis,SalVentAttn,-0.0006758681815846704,0,2
47,Vis,SomMot,0.0008694955912120297,0,2
48,Vis,Vis,0.026895491898369064,0,2
0,Cont,Cont,0.01945931882671217,1,2
1,Cont,Default,0.0008409478254581244,1,2
2,Cont,DorsAttn,0.001255784331531388,1,2
3,Cont,Limbic,-0.00025798350135373217,1,2
4,Cont,SalVentAttn,0.0013616130202922926,1,2
5,Cont,SomMot,0.00038846602264001336,1,2
6,Cont,Vis,-0.001024289257559795,1,2
7,Default,Cont,0.000840947818249558,1,2
8,Default,Default,0.01294156839264443,1,2
9,Default,DorsAttn,-0.00039475611055566154,1,2
10,Default,Limbic,0.00043483623184592513,1,2
11,Default,SalVentAttn,7.86910959574003e-05,1,2
12,Default,SomMot,0.00012638964121885926,1,2
13,Default,Vis,-0.0004737886195094695,1,2
14,DorsAttn,Cont,0.0012557842720533343,1,2
15,DorsAttn,Default,-0.00039475611072486223,1,2
16,DorsAttn,DorsAttn,0.019180603551364986,1,2
17,DorsAttn,Limbic,-0.0016051368050219344,1,2
18,DorsAttn,SalVentAttn,0.0012772619977133072,1,2
19,DorsAttn,SomMot,0.00177216751925038,1,2
20,DorsAttn,Vis,0.0003183910638977105,1,2
21,Limbic,Cont,-0.0002579834995284696,1,2
22,Limbic,Default,0.00043483623518354416,1,2
23,Limbic,DorsAttn,-0.001605136878985437,1,2
24,Limbic,Limbic,0.04005902383607686,1,2
25,Limbic,SalVentAttn,-0.0005708714608087969,1,2
26,Limbic,SomMot,-0.001899106991233483,1,2
27,Limbic,Vis,-0.0005971190195630125,1,2
28,SalVentAttn,Cont,0.0013616130105572114,1,2
29,SalVentAttn,Default,7.869113965322927e-05,1,2
30,SalVentAttn,DorsAttn,0.0012772619572698305,1,2
31,SalVentAttn,Limbic,-0.0005708715444046977,1,2
32,SalVentAttn,SalVentAttn,0.022585426218728343,1,2
33,SalVentAttn,SomMot,0.002889906840603528,1,2
34,SalVentAttn,Vis,-0.00029466232140840527,1,2
35,SomMot,Cont,0.0003884659663782128,1,2
36,SomMot,Default,0.00012638960271604482,1,2
37,SomMot,DorsAttn,0.0017721674644484496,1,2
38,SomMot,Limbic,-0.0018991067700369433,1,2
39,SomMot,SalVentAttn,0.0028899067956641806,1,2
40,SomMot,SomMot,0.016766239523297012,1,2
41,SomMot,Vis,0.00013505939315394084,1,2
42,Vis,Cont,-0.001024289306676183,1,2
43,Vis,Default,-0.0004737885594230985,1,2
44,Vis,DorsAttn,0.0003183910943671196,1,2
45,Vis,Limbic,-0.0005971190928308713,1,2
46,Vis,SalVentAttn,-0.0002946623303268324,1,2
47,Vis,SomMot,0.0001350593197436325,1,2
48,Vis,Vis,0.019007776438098294,1,2
0,Cont,Cont,0.01941644117357824,2,2
1,Cont,Default,0.0014412533163454427,2,2
2,Cont,DorsAttn,0.0016031343264919552,2,2
3,Cont,Limbic,-0.0001758970399995138,2,2
4,Cont,SalVentAttn,0.001510789346622141,2,2
5,Cont,SomMot,5.140707961043171e-05,2,2
6,Cont,Vis,-0.0010269302247374044,2,2
7,Default,Cont,0.001441253311012485,2,2
8,Default,Default,0.012848465175246085,2,2
9,Default,DorsAttn,-1.8307026302983594e-05,2,2
10,Default,Limbic,0.0004169892725048432,2,2
11,Default,SalVentAttn,0.0004514329323679859,2,2
12,Default,SomMot,-0.00022265116905583775,2,2
